Year,best,average
0,0,0
0,0,0
0,0,0
1,197,175
2,204,176
3,207,176
4,212,177
5,212,179
6,212,178
7,212,178
8,225,179
9,228,180
10,228,180
11,228,180
12,228,181
13,228,181
14,215,182
15,215,181
16,212,182
17,212,182
18,212,183
19,212,183
20,212,184
21,210,184
22,210,184
23,210,182
24,213,183
25,211,185
26,217,187
27,217,186
28,217,187
29,217,189
30,217,189
31,217,188
32,217,189
33,217,190
34,220,190
35,220,190
36,217,192
37,217,192
38,216,192
39,221,194
40,221,194
41,221,193
42,221,194
43,221,194
44,221,194
45,222,194
46,222,195
47,220,196
48,220,195
49,220,195
50,220,195
51,220,195
52,220,195
53,220,196
54,222,197
55,222,197
56,222,196
57,222,195
58,221,197
59,224,197
60,222,197
61,222,198
62,222,197
63,222,196
64,222,197
65,222,196
66,219,196
67,222,197
68,222,197
69,222,197
70,227,198
71,227,201
72,224,200
73,227,198
74,227,198
75,227,199
76,225,198
77,225,198
78,225,199
79,227,199
80,224,197
81,224,197
82,224,197
83,224,196
84,224,196
85,224,196
86,225,196
87,224,197
88,225,197
89,225,197
90,224,197
91,224,198
92,224,197
93,224,200
94,224,199
95,224,199
96,224,198
97,224,198
98,224,199
99,224,198
100,224,198
101,237,199
102,224,199
103,225,200
104,227,200
105,227,201
106,227,202
107,227,202
108,227,200
109,227,200
110,227,201
111,227,202
112,227,200
113,232,200
114,232,200
115,232,200
116,232,200
117,232,200
118,232,199
119,232,200
120,232,202
121,240,201
122,240,201
123,232,201
124,232,201
125,227,200
126,227,200
127,226,199
128,226,198
129,226,199
130,232,198
131,229,197
132,229,197
133,229,197
134,232,199
135,232,200
136,233,201
137,233,202
138,233,201
139,237,203
140,241,204
141,241,203
142,246,205
143,246,205
144,255,205
145,260,206
146,279,208
147,260,209
148,260,210
149,289,209
150,301,210
151,301,210
152,280,208
153,291,210
154,291,210
155,291,213
156,291,218
157,291,218
158,290,218
159,290,221
160,290,225
161,290,224
162,306,226
163,337,229
164,337,231
165,337,236
166,337,237
167,337,235
168,337,237
169,341,239
170,337,239
171,337,239
172,356,239
173,333,239
174,333,240
175,333,247
176,348,248
177,348,246
178,360,251
179,360,250
180,360,250
181,360,254
